Date,Open,High,Low,Close
5/10/23,12.6775,13.2975,11.5425,13.0825
5/11/23,13.0825,13.74,12.815,13.215
5/12/23,13.215,13.51,12.7375,12.8525
5/15/23,12.8525,13.615,12.5375,13.1725
5/16/23,13.1725,13.485,11.71,13.2925
5/17/23,13.2925,13.58,11.895,13.105
5/18/23,13.105,13.105,11.1375,12.795
5/19/23,12.795,12.82,11.6875,12.3025
5/22/23,12.3025,12.82,11.555,12.57
5/23/23,12.57,13.075,12.3175,12.605
5/24/23,12.605,13.4375,12.41,13.1125
5/25/23,13.1125,13.1325,8.1825,12.52
5/26/23,12.52,12.8575,11.7,11.9
5/29/23,11.9,12.4925,8.8075,12.2975
5/30/23,12.2975,12.38,11.7675,12.01
5/31/23,12.01,12.4675,11.58,11.9725
6/1/23,11.9725,11.9725,11.22,11.5975
6/2/23,11.5975,11.735,10.86,11.125
6/5/23,11.125,11.335,10.3225,11.1375
6/6/23,11.1375,11.6175,10.465,11.38
6/7/23,11.38,11.5375,9.6375,11.4425
6/8/23,11.4425,11.5675,10.13,11.2575
6/9/23,11.2575,11.2975,10.3075,11.12
6/12/23,11.12,11.8025,10.5825,11.245
6/13/23,11.245,11.25,9.99,11.11
6/14/23,11.11,11.3675,10.6325,11.1625
6/15/23,11.1625,11.37,9.6925,11.08
6/16/23,11.08,11.08,10.5575,10.84
6/19/23,10.84,11.4975,10.33,11.225
6/20/23,11.225,11.4375,10.5675,11.1325
6/21/23,11.1325,11.4325,10.77,11.2925
6/22/23,11.2925,11.7125,10.6925,11.5475
6/23/23,11.5475,11.8375,11.1425,11.235
6/26/23,11.235,11.925,11.235,11.395
6/27/23,11.395,11.4225,10.6925,10.7775
6/28/23,10.7775,11.535,10.6525,10.8875
6/30/23,10.8875,11.215,10.07,10.8
7/3/23,10.8,12.03,10.8,11.54
7/4/23,11.54,11.99,11.5225,11.7
7/5/23,11.7,12.21,11.5675,11.8825
7/6/23,11.8825,12.205,11.7775,11.84
7/7/23,11.84,12.0725,11.08,11.5325
7/10/23,11.5325,12.01,11.36,11.4625
7/11/23,11.4625,11.4625,10.945,11.0125
7/12/23,11.0125,11.2,10.72,10.935
7/13/23,10.935,11.1725,10.695,10.9375
7/14/23,10.9375,10.9375,10.6125,10.6825
7/17/23,10.6825,11.3975,9.8575,11.315
7/18/23,11.315,12.02,11.0675,11.71
7/19/23,11.71,11.9375,11.54,11.6
7/20/23,11.6,12.255,11.37,11.785
7/21/23,11.785,12.0325,11.06,11.485
7/24/23,11.485,11.995,10.5375,11.6525
7/25/23,11.6525,11.6525,10.1125,10.2425
7/26/23,10.2425,10.8625,10.2175,10.4575
7/27/23,10.4575,10.9825,9.8875,10.5125
7/28/23,10.5125,10.81,10.035,10.135
7/31/23,10.135,11.1875,10.135,10.4125
8/1/23,10.4125,10.7025,10.195,10.2825
8/2/23,10.2825,11.805,9.95,11.2775
8/3/23,11.2775,11.96,10.9825,11.185
8/4/23,11.185,11.185,10.4825,10.5725
8/7/23,10.5725,11.4175,10.4025,11.1025
8/8/23,11.1025,11.53,11.1025,11.325
8/9/23,11.325,11.765,10.485,11.14
8/10/23,11.14,11.91,10.6275,11.4
8/11/23,11.4,11.87,11.36,11.55
8/14/23,11.52,12.76,10.48,11.99
8/16/23,12,12.68,12,12.13
8/17/23,12.13,12.67,12.13,12.26
8/18/23,12.24,12.49,10.79,12.12
8/21/23,12.14,12.59,11.17,11.93
8/22/23,11.96,12.09,11.59,11.77
8/23/23,11.75,11.89,10.31,11.77
8/24/23,11.73,12.24,10.2,11.63
8/25/23,11.7,12.16,11.63,12.13
8/28/23,12.08,12.72,12.13,12.42
8/29/23,12.4,12.46,10.65,12.21
8/30/23,12.23,12.24,11.46,11.87
8/31/23,11.8,12.28,11.76,11.98
9/1/23,12.06,12.18,10.41,11.39
9/4/23,11.37,11.54,10.92,10.98
9/5/23,10.96,11.09,10.77,10.8
9/6/23,10.82,10.98,10.57,10.67
9/7/23,10.68,11.03,10.62,10.86
9/8/23,10.87,10.97,10.08,10.79
9/11/23,10.78,11.5,10.34,11.33
9/12/23,11.35,12.02,10.71,11.65
9/13/23,11.69,12.05,11.54,11.77
9/14/23,11.83,12.04,11.26,11.29
9/15/23,11.32,11.32,10.07,10.92
9/18/23,10.9,11.41,10.45,10.76
9/20/23,10.84,11.47,10.84,11.1
9/21/23,11.13,11.39,10.62,10.85
9/22/23,10.82,11.07,10.39,10.63
9/25/23,10.66,11.31,10.27,10.91
9/26/23,10.9,11.29,10.95,11.2
9/27/23,11.19,11.82,11.33,11.61
9/28/23,11.59,13.02,11.83,12.93
9/29/23,12.82,12.82,11.31,11.52
10/3/23,11.45,12.41,10.78,11.77
10/4/23,11.79,12.22,11.12,11.62
10/5/23,11.66,11.66,10.84,10.92
10/6/23,10.94,10.94,10.23,10.27
10/9/23,10.3,11.63,10.12,11.39
10/10/23,11.4,11.4,10.86,11.25
10/11/23,11.27,11.32,10.39,11.01
10/12/23,10.99,11.12,10.57,10.6
10/13/23,10.62,11.03,10.4,10.55
10/16/23,10.62,11.13,10.87,11.08
10/17/23,11.07,11.07,10.43,10.74
10/18/23,10.7,11.17,10.49,10.96
10/19/23,10.97,11.21,10.05,10.9
10/20/23,10.9,11.09,10.08,10.78
10/23/23,10.82,11.36,10.06,11.02
10/25/23,10.91,12.18,11.02,11.16
10/26/23,11.31,12.7,11.31,11.8
10/27/23,11.73,12.31,10.67,10.89
10/30/23,10.91,12.19,10.91,11.5
10/31/23,11.49,12.29,11.26,11.75
11/1/23,11.83,12.2,11.83,12.02
11/2/23,12.05,12.05,10.96,11.07
11/3/23,11.08,11.08,10.64,10.87
11/6/23,10.88,11.28,10.38,11.13
11/7/23,11.11,12.18,11,11.19
11/8/23,11.19,11.33,10.63,11.06
11/9/23,11.04,11.25,10.37,11.05
11/10/23,10.98,11.36,11.03,11.11
11/13/23,11.35,11.63,10.5,11.18
11/15/23,11.19,11.42,11.11,11.11
11/16/23,11.14,11.81,10.62,11.65
11/17/23,11.65,12.09,10.19,11.9
11/20/23,11.83,12.67,11.2,12
11/21/23,12.15,12.44,10.76,12.2
11/22/23,12.23,12.71,11.02,11.89
11/23/23,11.87,12.14,10.98,11.25
11/24/23,11.32,11.47,10.97,11.33
11/28/23,11.33,12.48,11.07,12.45
11/29/23,12.18,14.46,11.33,12.78
11/30/23,12.71,13.35,11.76,12.57
12/1/23,12.69,12.76,11.78,12.35
12/4/23,12.38,13.16,11.34,12.6
12/5/23,12.99,13.88,11.48,13.47
12/6/23,13.46,14.09,12.69,13.68
12/7/23,13.74,13.74,12.55,12.59
12/8/23,12.67,12.88,12.14,12.58
12/11/23,12.47,13.12,12.23,12.75
12/12/23,12.76,12.87,11.69,12.74
12/13/23,12.71,12.82,11.54,12.1
12/14/23,12.07,12.51,11,12.34
12/15/23,12.32,13.34,10.8,13.29
12/18/23,13.13,14.12,13.13,13.93
12/19/23,13.9,14.12,13.55,13.86
12/20/23,13.87,14.87,12.78,14.37
12/21/23,14.45,15.01,12.28,13.65
12/22/23,13.76,13.99,12.23,13.51
12/26/23,13.71,14.95,13.71,14.64
12/27/23,14.68,15.73,14.47,15.44
12/28/23,15.56,16.47,14.96,15.12
12/29/23,15.14,15.43,14.37,14.41
1/1/24,14.5,14.87,14.33,14.75
1/2/24,14.68,15.08,14.24,14.58
1/3/24,14.58,14.78,14.02,14.1
1/4/24,14.1,14.21,13.21,13.35
1/5/24,13.33,13.47,12.49,12.52
1/8/24,12.63,13.6,12.63,13.5
1/9/24,13.46,13.51,12.78,13.3
1/10/24,13.26,14.56,12.82,12.83
1/11/24,12.97,13.19,12.63,12.76
1/12/24,12.77,13.29,12.42,13.09
1/15/24,13.1,13.89,11.79,13.79
1/16/24,13.79,14.04,12.49,13.55
1/17/24,13.57,15.23,12.72,15.11
1/18/24,15.08,15.71,12.98,14.12
1/19/24,14.07,14.11,13.68,13.86
1/23/24,13.8,15.41,12.2,14.88
1/24/24,14.85,15.65,14.03,14.04
1/25/24,14.38,15.34,13.36,13.87
1/29/24,13.87,15.85,13.8,15.67
1/30/24,15.68,16.58,14.99,16.26
1/31/24,16.1,16.53,15.8,16.03
2/1/24,16.05,16.11,14.36,14.61
2/2/24,14.46,15.13,14.03,14.76
2/5/24,14.7,16.05,14.7,15.65
2/6/24,15.62,15.98,15.09,15.76
2/7/24,15.79,16.02,14.74,15.48
2/8/24,15.51,16.03,15.24,15.77
2/9/24,15.83,16.33,15.27,15.31
2/12/24,15.45,16.54,15.45,16.36
2/13/24,16.06,16.57,15.75,15.82
